query_id,ref_id,query_start,query_end,ref_start,ref_end
Q100401,R125961,13.54296,47.284718,10.506764,51.55205
Q100403,R113945,7.518885,26.910444,30.749655,50.141212
Q100403,R125402,39.773705,45.27921,0.0,5.505506
Q100414,R117611,9.883071,31.876432,16.977785,38.971146
Q100415,R130491,14.960127,40.150154,11.777665,36.967693
Q100416,R108986,3.8378546,9.497468,2.6842275,10.944278
Q100417,R108869,3.7179315,16.77601,12.029198,20.408733
Q100417,R110320,20.048906,37.356884,19.318953,30.425705
Q100427,R116516,17.892029,29.250671,0.25966543,11.618307
Q100427,R123688,3.7210755,14.334074,13.167431,23.78043
Q100427,R125182,37.99097,47.704807,11.308031,21.021868
Q100431,R128279,0.6149208,7.485772,0.9988203,7.9916077
Q100431,R132744,28.626469,37.87189,14.681857,24.091356
Q100431,R138302,14.806967,22.686497,2.4862497,10.505616
Q100433,R122640,14.780343,23.885698,26.310585,35.41594
Q100439,R106786,1.3043659,12.640363,38.73991,50.075905
Q100439,R128117,30.014023,37.706444,9.589289,17.28171
Q100440,R104705,4.728702,10.031539,1.0848069,7.848031
Q100446,R103624,27.469791,32.936096,7.2235756,12.689881
Q100446,R111188,3.0080998,17.727758,1.7577641,16.477423
Q100446,R113164,36.20766,42.11447,23.005213,28.91202
Q100449,R122846,29.988146,35.388157,2.1317127,7.5407023
Q100450,R130571,0.40052226,10.139001,1.0139221,7.007508
Q100460,R112331,15.680232,30.458563,4.8198733,23.482826
Q100460,R113470,32.80219,37.525036,2.7843895,8.748681
Q100460,R133400,0.41774306,13.047245,0.0,15.949283
Q100461,R130876,25.05707,35.672634,11.671728,18.051386
Q100466,R124203,39.187485,48.272255,4.729124,14.581748
Q100468,R103840,20.581657,25.685987,3.1925788,8.296908
Q100474,R125391,25.08426,34.154675,5.8940196,19.418953
Q100475,R133883,10.716439,23.044884,18.771873,28.595762
Q100476,R130084,39.248676,47.36341,14.937889,21.589886
Q100476,R130084,29.914045,38.02878,4.1234355,10.775433
Q100478,R101270,15.09747,25.810932,10.484254,23.732567
Q100480,R127114,2.0361505,9.895794,0.5728807,6.668604
Q100481,R106229,47.5117,59.540302,12.204465,24.233067
Q100485,R123934,0.5928073,23.138098,0.72083473,31.891129
Q100486,R108213,14.064727,22.130623,9.132213,17.117117
Q100487,R129524,17.597925,23.480347,1.6255865,7.508008
Q100488,R136691,3.4053688,15.922474,1.554728,14.071834
Q100489,R101202,21.645746,31.280031,8.1528,15.117141
Q100489,R109791,5.5846443,16.24607,50.36752,58.07435
Q100489,R126355,40.913067,65.53169,5.207035,23.003117
Q100524,R115025,7.407276,15.65065,0.27410656,8.766138
Q100530,R125182,23.623846,36.420696,37.954403,50.75125
Q100533,R113812,10.296904,38.938004,17.777103,35.82717
Q100534,R123937,38.56855,46.62835,0.6206753,5.5527205
Q100535,R108633,5.2753363,10.1133995,5.3040857,11.678345
Q100537,R114781,22.420296,46.597496,14.891479,34.7686
Q100541,R110959,2.3474243,22.334957,17.089775,37.07731
Q100545,R111859,-0.30842745,18.77054,5.913192,24.992159
Q100549,R108703,7.734502,15.531647,11.047162,21.778542
Q100551,R125482,0.5046281,38.02589,16.415026,51.818485
Q100554,R132031,26.086851,43.318787,6.9972024,19.51952
Q100558,R106286,8.3219595,19.35215,6.754597,15.015015
Q100559,R100117,29.842848,53.661697,36.207844,60.02669
Q100568,R106848,14.756297,21.097195,0.3802598,7.301804
Q100574,R135527,12.193667,24.293375,25.03743,37.13714
Q100577,R125473,5.697499,21.744951,14.568938,30.679474
Q100577,R132762,27.919895,43.807125,5.9028645,21.852547
Q100580,R114370,76.34744,87.091805,1.7677672,9.013114
Q100583,R115148,22.6379,32.90558,8.971219,19.238897
Q100583,R115148,52.440933,62.70861,43.297184,53.56486
Q100583,R115148,42.673256,52.440933,32.021862,41.78954
Q100583,R115148,32.90558,42.673256,20.74654,30.51422
Q100584,R124275,21.891306,36.113903,0.025783127,14.24838
Q100584,R124996,10.420629,15.968627,13.986735,19.534733
Q100596,R113364,29.653008,40.659477,0.12561029,15.285704
Q100602,R118907,1.0072806,31.465845,23.112024,60.02669
Q100603,R113283,-0.298674,7.7368326,4.0704527,12.514594
Q100622,R137925,6.025802,9.865249,1.8038944,7.2542467
Q100631,R104587,46.552845,54.42064,0.3653174,8.233112
Q100633,R137839,23.188745,43.251263,30.529856,50.592373
Q100637,R105076,41.32795,45.967014,2.78031,8.21705
Q100652,R100984,0.8270029,5.4158206,1.0025018,6.17334
Q100659,R130224,12.856995,18.995882,0.30111146,6.44
Q100680,R135419,5.4374013,13.106344,23.92313,31.196123
Q100681,R114152,57.563347,63.741,5.3146315,11.492287
